curie	text	type	references
CHEBI:16618	PI(3,4,5)P3	skos:exactMatch	pubmed:29623928,pubmed:20817957,pubmed:18931680,pubmed:28443090
CHEBI:16618	phosphatidylinositol (3,4,5) P3	skos:exactMatch	pubmed:29695532
